L T t C
32 2.300000 0 1997322.49
32 2.300000 1 1995148.80
32 2.300000 2 1993540.66
32 2.300000 3 1992326.45
32 2.300000 4 1991360.55
32 2.300000 5 1990594.83
32 2.300000 6 1989989.05
32 2.300000 7 1989496.55
32 2.300000 8 1989103.43
32 2.300000 9 1988767.44
32 2.300000 10 1988518.44
32 2.300000 11 1988272.80
32 2.300000 12 1988057.67
32 2.300000 13 1987890.40
32 2.300000 14 1987756.62
32 2.300000 15 1987659.58
32 2.300000 16 1987561.08
32 2.300000 17 1987503.02
32 2.300000 18 1987415.58
32 2.300000 19 1987329.82
32 2.300000 20 1987237.69
32 2.300000 21 1987161.07
32 2.300000 22 1987124.31
32 2.300000 23 1987082.38
32 2.300000 24 1987049.76
32 2.300000 25 1987023.76
32 2.300000 26 1987000.16
32 2.300000 27 1986971.36
32 2.300000 28 1986967.02
32 2.300000 29 1986968.59
32 2.300000 30 1986961.45
32 2.300000 31 1986978.31
32 2.300000 32 1986984.93
32 2.300000 33 1987010.99
32 2.300000 34 1987026.42
32 2.300000 35 1987039.10
32 2.300000 36 1987070.06
32 2.300000 37 1987083.04
32 2.300000 38 1987081.57
32 2.300000 39 1987107.93
32 2.300000 40 1987124.26
32 2.300000 41 1987173.97
32 2.300000 42 1987212.81
32 2.300000 43 1987238.98
32 2.300000 44 1987250.45
32 2.300000 45 1987271.60
32 2.300000 46 1987286.48
32 2.300000 47 1987256.13
32 2.300000 48 1987243.03
32 2.300000 49 1987238.63
32 2.300000 50 1987216.58
32 2.300000 51 1987188.95
32 2.300000 52 1987152.42
32 2.300000 53 1987144.43
32 2.300000 54 1987147.83
32 2.300000 55 1987144.91
32 2.300000 56 1987151.38
32 2.300000 57 1987156.61
32 2.300000 58 1987163.54
32 2.300000 59 1987180.23
32 2.300000 60 1987207.90
32 2.300000 61 1987226.15
32 2.300000 62 1987253.94
32 2.300000 63 1987278.66
32 2.300000 64 1987298.75
32 2.300000 65 1987310.42
32 2.300000 66 1987320.34
32 2.300000 67 1987283.22
32 2.300000 68 1987264.90
32 2.300000 69 1987237.32
32 2.300000 70 1987199.94
32 2.300000 71 1987188.94
32 2.300000 72 1987167.23
32 2.300000 73 1987146.71
32 2.300000 74 1987167.65
32 2.300000 75 1987182.84
32 2.300000 76 1987195.79
32 2.300000 77 1987172.67
32 2.300000 78 1987151.65
32 2.300000 79 1987133.23
32 2.300000 80 1987119.70
32 2.300000 81 1987106.13
32 2.300000 82 1987102.04
32 2.300000 83 1987102.35
