L T e Cv m
256 2.200000 -1.546151 1.316540 0.784578
64 2.200000 -1.547121 1.439999 0.785464
256 2.220000 -1.516054 1.292201 0.753064
64 2.220000 -1.522107 1.447189 0.760210
256 2.240000 -1.484359 1.688056 0.712294
64 2.240000 -1.486243 1.639690 0.716564
256 2.250000 -1.463059 1.935107 0.672846
64 2.250000 -1.468867 1.929446 0.679716
256 2.255000 -1.453028 2.361509 0.649209
64 2.255000 -1.453907 1.888638 0.664772
256 2.260000 -1.441440 1.979079 0.612293
64 2.260000 -1.449025 1.776520 0.656314
256 2.262000 -1.433796 2.440361 0.586645
64 2.262000 -1.434952 2.360946 0.613363
256 2.264000 -1.432036 2.395158 0.584149
64 2.264000 -1.436345 1.805193 0.635352
1024 2.265000 -1.427983 2.901841 0.555859
1024 2.266000 -1.425110 2.893380 0.537114
256 2.266000 -1.425018 3.140238 0.533610
64 2.266000 -1.432288 1.839079 0.618949
1024 2.267000 -1.422311 3.024538 0.514749
1024 2.268000 -1.418550 3.460288 0.476088
256 2.268000 -1.419705 2.966904 0.524260
64 2.268000 -1.416279 2.280202 0.575839
1024 2.269000 -1.415480 3.387512 0.431708
256 2.269000 -1.418383 2.155242 0.517436
