L T t C
32 2.800000 0 4145.18
32 2.800000 1 1998.02
32 2.800000 2 1043.94
32 2.800000 3 575.12
32 2.800000 4 326.59
32 2.800000 5 185.96
32 2.800000 6 104.25
32 2.800000 7 61.38
32 2.800000 8 28.95
32 2.800000 9 21.77
32 2.800000 10 11.64
32 2.800000 11 10.74
32 2.800000 12 2.48
32 2.800000 13 1.92
32 2.800000 14 0.91
32 2.800000 15 -3.70
32 2.800000 16 -1.24
32 2.800000 17 -0.40
32 2.800000 18 -4.33
32 2.800000 19 -4.59
32 2.800000 20 -8.60
32 2.800000 21 -4.76
32 2.800000 22 1.22
32 2.800000 23 2.49
32 2.800000 24 8.94
32 2.800000 25 6.58
32 2.800000 26 8.02
32 2.800000 27 2.42
32 2.800000 28 -9.26
32 2.800000 29 -6.40
32 2.800000 30 -3.94
32 2.800000 31 -1.41
32 2.800000 32 -2.53
32 2.800000 33 -2.87
32 2.800000 34 -9.69
32 2.800000 35 -12.95
32 2.800000 36 -12.44
32 2.800000 37 -10.09
32 2.800000 38 -6.03
32 2.800000 39 2.27
32 2.800000 40 6.77
32 2.800000 41 2.59
32 2.800000 42 -1.34
32 2.800000 43 -6.96
32 2.800000 44 -3.43
32 2.800000 45 0.21
32 2.800000 46 -3.27
32 2.800000 47 -4.00
32 2.800000 48 -3.43
32 2.800000 49 -8.72
32 2.800000 50 -14.26
32 2.800000 51 -12.27
32 2.800000 52 -10.69
32 2.800000 53 -1.65
32 2.800000 54 0.64
32 2.800000 55 0.52
32 2.800000 56 11.20
32 2.800000 57 14.86
32 2.800000 58 8.91
32 2.800000 59 0.58
32 2.800000 60 2.48
32 2.800000 61 0.58
32 2.800000 62 5.57
32 2.800000 63 2.71
32 2.800000 64 2.21
32 2.800000 65 -2.54
32 2.800000 66 -1.37
32 2.800000 67 -1.40
32 2.800000 68 -2.77
32 2.800000 69 -10.66
32 2.800000 70 -14.69
32 2.800000 71 -11.63
32 2.800000 72 -10.65
32 2.800000 73 1.92
32 2.800000 74 4.52
