L T e Cv m
16 2.000000 -1.745455 0.724446 0.911182
32 2.000000 -1.745699 0.726160 0.911414
64 2.000000 2.734084 0.724144 -1.427423
8 2.000000 -1.745454 0.717489 0.911445
16 2.100000 -1.661473 0.961538 0.868336
32 2.100000 -1.661938 0.960382 0.868696
64 2.100000 2.603476 0.963677 -1.360800
8 2.100000 -1.666407 0.879830 0.874505
16 2.160000 -1.599063 1.150609 0.829473
32 2.160000 -1.598046 1.185306 0.827213
64 2.160000 2.503502 1.180632 -1.296186
16 2.180000 -1.575395 1.217009 0.813282
32 2.180000 -1.573235 1.284617 0.808033
64 2.180000 2.464896 1.281711 -1.266772
16 2.200000 -1.549814 1.293167 0.794036
32 2.200000 -1.546521 1.397652 0.785197
64 2.200000 2.422615 1.401316 -1.229881
8 2.200000 -1.567034 1.057050 0.820924
16 2.220000 -1.523214 1.368855 0.772631
32 2.220000 -1.516704 1.536762 0.755380
64 2.220000 2.375804 1.581627 -1.181182
16 2.240000 -1.495737 1.413838 0.751358
32 2.240000 -1.485578 1.662278 0.722221
64 2.240000 2.321263 1.862195 -1.102689
16 2.250000 -1.481439 1.441706 0.738848
32 2.250000 -1.468085 1.755143 0.698685
64 2.250000 2.293850 1.930209 -1.066873
16 2.260000 -1.466525 1.479375 0.725791
32 2.260000 -1.450542 1.814580 0.676603
64 2.260000 2.262188 2.074613 -1.007307
16 2.270000 -1.451566 1.502850 0.712042
32 2.270000 -1.431825 1.845834 0.651754
64 2.270000 2.226012 2.232229 -0.923809
16 2.280000 -1.436034 1.518055 0.697478
32 2.280000 -1.413979 1.866837 0.627439
64 2.280000 2.190813 2.265870 -0.839613
16 2.290000 -1.421641 1.526681 0.684591
32 2.290000 -1.395252 1.911188 0.598965
64 2.290000 2.159198 2.219803 -0.773429
16 2.300000 -1.407282 1.530758 0.671662
32 2.300000 -1.376024 1.890840 0.569843
64 2.300000 2.122651 2.126461 -0.676639
8 2.300000 -1.455345 1.174081 0.755195
16 2.320000 -1.374191 1.562990 0.638583
32 2.320000 -1.338343 1.847404 0.508572
64 2.320000 2.063696 1.859611 -0.538087
16 2.340000 -1.345675 1.539887 0.611101
32 2.340000 -1.303813 1.721748 0.455421
64 2.340000 2.007975 1.540368 -0.411111
16 2.360000 -1.313675 1.513100 0.577784
32 2.360000 -1.268474 1.556203 0.396279
64 2.360000 1.963907 1.359892 -0.339830
16 2.380000 -1.284185 1.472063 0.547606
32 2.380000 -1.240158 1.414592 0.355242
64 2.380000 1.923409 1.215718 -0.286503
16 2.400000 -1.253012 1.408216 0.513076
32 2.400000 -1.213619 1.290923 0.318703
64 2.400000 1.886271 1.141020 -0.250388
8 2.400000 -1.337019 1.185301 0.680347
16 2.440000 -1.201336 1.272122 0.460671
32 2.440000 -1.165142 1.076203 0.254666
64 2.440000 1.819934 1.002291 -0.199525
16 2.480000 -1.152654 1.134650 0.409733
32 2.480000 -1.125196 0.936016 0.215697
64 2.480000 1.760022 0.903712 -0.167825
8 2.500000 -1.221498 1.096476 0.602508
16 2.520000 -1.110569 1.004404 0.368925
32 2.520000 -1.090225 0.842001 0.187894
64 2.520000 1.706030 0.820323 -0.145251
16 2.560000 -1.072941 0.888844 0.334205
32 2.560000 -1.058094 0.770289 0.167505
64 2.560000 1.656479 0.761126 -0.128880
16 2.600000 -1.039012 0.799735 0.304496
32 2.600000 -1.028552 0.708781 0.150678
64 2.600000 1.610664 0.704950 -0.116361
8 2.600000 -1.119128 0.961725 0.531585
16 2.700000 -0.968451 0.636270 0.251190
32 2.700000 -0.963676 0.594979 0.123004
64 2.700000 1.509284 0.594733 -0.096497
8 2.700000 -1.030395 0.814258 0.470542
8 2.800000 -0.955643 0.678405 0.419651
