L T e Cv m
16 2.000000 -1.745973 0.707558 0.911692
32 2.000000 -1.746007 0.718121 0.911735
64 2.000000 -1.746152 0.706936 0.911720
8 2.000000 -1.745075 0.722999 0.910737
16 2.100000 -1.656467 1.014435 0.864187
32 2.100000 -1.661946 0.982635 0.868779
64 2.100000 -1.662608 0.945570 0.868852
8 2.100000 -1.669787 0.889041 0.876500
16 2.160000 -1.589861 1.270570 0.815281
32 2.160000 -1.597732 1.130327 0.827587
64 2.160000 -1.597101 1.192388 0.826798
16 2.180000 -1.576598 1.146265 0.817366
32 2.180000 -1.572807 1.261576 0.808389
64 2.180000 -1.574827 1.195798 0.810770
16 2.200000 -1.550902 1.255370 0.795574
32 2.200000 -1.543411 1.457355 0.774488
64 2.200000 -1.546851 1.432354 0.785451
8 2.200000 -1.563063 1.013643 0.817512
16 2.220000 -1.518633 1.374336 0.769918
32 2.220000 -1.520257 1.520213 0.762966
64 2.220000 -1.517025 1.567766 0.754436
16 2.240000 -1.508155 1.367535 0.764969
32 2.240000 -1.478688 1.744262 0.706211
64 2.240000 -1.484582 1.876457 0.713882
16 2.250000 -1.488261 1.386176 0.750952
32 2.250000 -1.462792 1.889430 0.694199
64 2.250000 -1.463250 1.907885 0.678464
16 2.260000 -1.467198 1.397423 0.732263
32 2.260000 -1.446822 1.638327 0.677620
64 2.260000 -1.443334 2.040353 0.647083
16 2.270000 -1.452617 1.531628 0.711251
32 2.270000 -1.431138 1.805359 0.653672
64 2.270000 -1.422907 2.212085 0.601846
16 2.280000 -1.441895 1.457640 0.707029
32 2.280000 -1.418242 1.987926 0.633298
64 2.280000 -1.396237 2.361141 0.525322
16 2.290000 -1.423166 1.523586 0.690077
32 2.290000 -1.397535 1.945070 0.601983
64 2.290000 -1.376242 2.135085 0.480673
16 2.300000 -1.404005 1.594282 0.659786
32 2.300000 -1.372116 1.821610 0.560127
64 2.300000 -1.358272 1.920411 0.446895
8 2.300000 -1.451744 1.170131 0.752166
16 2.320000 -1.377137 1.541737 0.642284
32 2.320000 -1.323080 1.782233 0.468100
64 2.320000 -1.318890 1.812321 0.367533
16 2.340000 -1.345358 1.602232 0.608609
32 2.340000 -1.301719 1.686153 0.452718
64 2.340000 -1.283532 1.518832 0.277678
16 2.360000 -1.310588 1.519131 0.572344
32 2.360000 -1.268166 1.532001 0.387593
64 2.360000 -1.253517 1.416518 0.218138
16 2.380000 -1.279888 1.506461 0.543930
32 2.380000 -1.237656 1.303301 0.356530
64 2.380000 -1.228162 1.191743 0.195527
16 2.400000 -1.250906 1.430723 0.507736
32 2.400000 -1.212401 1.379081 0.327136
64 2.400000 -1.204908 1.168527 0.165232
8 2.400000 -1.349619 1.185477 0.690922
16 2.440000 -1.202400 1.270719 0.458073
32 2.440000 -1.169728 1.058026 0.276379
64 2.440000 -1.161291 1.032377 0.121965
16 2.480000 -1.157586 1.161225 0.418128
32 2.480000 -1.125846 1.012744 0.215445
64 2.480000 -1.123807 0.885663 0.104343
8 2.500000 -1.208725 1.116499 0.592931
16 2.520000 -1.113030 1.027988 0.371300
32 2.520000 -1.088195 0.853317 0.190328
64 2.520000 -1.089270 0.825835 0.093817
16 2.560000 -1.074156 0.916503 0.337285
32 2.560000 -1.054613 0.744229 0.162803
64 2.560000 -1.058187 0.748427 0.086279
16 2.600000 -1.036427 0.773570 0.293420
32 2.600000 -1.028752 0.711773 0.153439
64 2.600000 -1.028252 0.701279 0.076700
8 2.600000 -1.122956 0.973906 0.537147
16 2.700000 -0.962245 0.640355 0.244696
32 2.700000 -0.964721 0.593835 0.126399
64 2.700000 -0.963112 0.557018 0.061688
8 2.700000 -1.021062 0.807649 0.466931
8 2.800000 -0.955356 0.686852 0.418856
