L T t C
32 2.300000 0 10181.73
32 2.300000 1 7995.14
32 2.300000 2 6362.31
32 2.300000 3 5143.35
32 2.300000 4 4185.38
32 2.300000 5 3421.90
32 2.300000 6 2834.78
32 2.300000 7 2354.64
32 2.300000 8 1989.26
32 2.300000 9 1684.89
32 2.300000 10 1426.26
32 2.300000 11 1209.83
32 2.300000 12 1026.63
32 2.300000 13 864.52
32 2.300000 14 725.30
32 2.300000 15 579.80
32 2.300000 16 493.49
32 2.300000 17 446.01
32 2.300000 18 396.71
32 2.300000 19 363.12
32 2.300000 20 324.29
32 2.300000 21 275.61
32 2.300000 22 243.29
32 2.300000 23 220.33
32 2.300000 24 187.12
32 2.300000 25 163.45
32 2.300000 26 151.33
32 2.300000 27 118.97
32 2.300000 28 70.93
32 2.300000 29 43.07
32 2.300000 30 12.14
32 2.300000 31 5.21
32 2.300000 32 14.82
32 2.300000 33 8.02
32 2.300000 34 8.68
32 2.300000 35 10.63
32 2.300000 36 -15.71
32 2.300000 37 -44.26
32 2.300000 38 -41.32
32 2.300000 39 -52.94
32 2.300000 40 -66.30
32 2.300000 41 -85.40
32 2.300000 42 -71.25
32 2.300000 43 -50.68
32 2.300000 44 -41.95
32 2.300000 45 -25.12
32 2.300000 46 14.21
32 2.300000 47 20.06
32 2.300000 48 14.43
32 2.300000 49 29.07
32 2.300000 50 46.54
32 2.300000 51 29.89
32 2.300000 52 7.97
32 2.300000 53 -5.42
32 2.300000 54 -14.33
32 2.300000 55 -45.30
32 2.300000 56 -67.25
32 2.300000 57 -66.00
32 2.300000 58 -77.72
32 2.300000 59 -99.37
32 2.300000 60 -109.91
32 2.300000 61 -127.44
32 2.300000 62 -127.90
32 2.300000 63 -141.34
32 2.300000 64 -139.43
32 2.300000 65 -140.48
32 2.300000 66 -138.76
32 2.300000 67 -122.02
32 2.300000 68 -93.22
32 2.300000 69 -60.70
32 2.300000 70 -48.46
32 2.300000 71 -40.49
32 2.300000 72 -12.98
32 2.300000 73 6.02
32 2.300000 74 47.19
32 2.300000 75 56.57
32 2.300000 76 51.22
32 2.300000 77 61.78
32 2.300000 78 84.50
32 2.300000 79 72.35
32 2.300000 80 58.12
32 2.300000 81 60.95
32 2.300000 82 36.20
32 2.300000 83 25.10
32 2.300000 84 12.12
32 2.300000 85 -13.74
32 2.300000 86 -49.31
32 2.300000 87 -66.33
32 2.300000 88 -98.91
32 2.300000 89 -114.09
32 2.300000 90 -117.01
32 2.300000 91 -104.28
32 2.300000 92 -111.63
32 2.300000 93 -139.09
32 2.300000 94 -147.09
32 2.300000 95 -142.17
32 2.300000 96 -99.78
32 2.300000 97 -54.26
32 2.300000 98 -1.26
32 2.300000 99 30.85
32 2.300000 100 71.66
32 2.300000 101 79.96
32 2.300000 102 81.95
32 2.300000 103 61.07
32 2.300000 104 51.09
32 2.300000 105 22.65
32 2.300000 106 18.99
32 2.300000 107 26.00
32 2.300000 108 41.30
32 2.300000 109 31.29
32 2.300000 110 31.62
32 2.300000 111 20.28
32 2.300000 112 17.68
32 2.300000 113 16.69
32 2.300000 114 -9.12
32 2.300000 115 -3.02
32 2.300000 116 1.04
32 2.300000 117 10.01
32 2.300000 118 19.09
32 2.300000 119 26.09
32 2.300000 120 16.86
32 2.300000 121 5.71
32 2.300000 122 -3.75
32 2.300000 123 15.90
32 2.300000 124 36.16
32 2.300000 125 24.11
32 2.300000 126 26.56
32 2.300000 127 27.21
32 2.300000 128 31.53
32 2.300000 129 51.21
32 2.300000 130 80.65
32 2.300000 131 105.28
32 2.300000 132 138.69
32 2.300000 133 152.22
32 2.300000 134 129.10
32 2.300000 135 135.68
32 2.300000 136 135.26
32 2.300000 137 129.49
32 2.300000 138 130.07
32 2.300000 139 122.94
32 2.300000 140 133.55
32 2.300000 141 127.49
32 2.300000 142 134.60
32 2.300000 143 127.50
32 2.300000 144 115.74
32 2.300000 145 120.39
32 2.300000 146 109.28
32 2.300000 147 125.84
32 2.300000 148 106.95
32 2.300000 149 92.28
32 2.300000 150 55.32
32 2.300000 151 54.82
32 2.300000 152 64.49
32 2.300000 153 61.19
32 2.300000 154 42.19
32 2.300000 155 65.43
32 2.300000 156 82.73
32 2.300000 157 94.37
32 2.300000 158 81.57
32 2.300000 159 69.88
32 2.300000 160 49.66
32 2.300000 161 45.02
32 2.300000 162 38.13
32 2.300000 163 31.22
32 2.300000 164 31.48
32 2.300000 165 32.47
32 2.300000 166 48.34
32 2.300000 167 28.04
32 2.300000 168 30.73
32 2.300000 169 32.61
32 2.300000 170 31.35
32 2.300000 171 18.14
32 2.300000 172 14.71
32 2.300000 173 33.63
32 2.300000 174 41.61
32 2.300000 175 31.12
32 2.300000 176 30.51
32 2.300000 177 56.17
32 2.300000 178 63.57
32 2.300000 179 80.60
32 2.300000 180 71.11
32 2.300000 181 66.39
32 2.300000 182 40.59
32 2.300000 183 11.26
32 2.300000 184 20.93
32 2.300000 185 28.37
32 2.300000 186 12.62
32 2.300000 187 9.20
32 2.300000 188 -9.60
32 2.300000 189 -19.68
32 2.300000 190 -4.98
32 2.300000 191 36.73
32 2.300000 192 53.03
32 2.300000 193 53.55
32 2.300000 194 59.41
32 2.300000 195 92.79
32 2.300000 196 85.64
32 2.300000 197 91.56
32 2.300000 198 74.99
32 2.300000 199 91.11
