L 016 T 2.300 nblock 010 nsamp 1000 ntherm 1000 seed 0
block 0 e -1.407922 c 1.490307 m 0.671125 m2 0.450409 m4 0.202868
block 1 e -1.404672 c 1.401664 m 0.677141 m2 0.458519 m4 0.210240
block 2 e -1.419531 c 1.427806 m 0.684836 m2 0.469000 m4 0.219961
block 3 e -1.385031 c 1.607205 m 0.650109 m2 0.422642 m4 0.178626
block 4 e -1.407687 c 1.384824 m 0.673648 m2 0.453802 m4 0.205936
block 5 e -1.382922 c 1.688775 m 0.641687 m2 0.411763 m4 0.169549
block 6 e -1.423984 c 1.576096 m 0.683977 m2 0.467824 m4 0.218859
block 7 e -1.394609 c 1.601158 m 0.656320 m2 0.430756 m4 0.185551
block 8 e -1.421766 c 1.483612 m 0.688289 m2 0.473742 m4 0.224431
block 9 e -1.408609 c 1.460636 m 0.672609 m2 0.452403 m4 0.204669
