L 1024 T 2.269200
spin_corr:
x 0 value 1.000000
x 1 value 0.707451
x 2 value 0.595397
x 3 value 0.536751
x 4 value 0.499616
x 5 value 0.472869
x 6 value 0.451503
x 7 value 0.435026
x 8 value 0.420829
x 9 value 0.408972
x 10 value 0.398875
x 11 value 0.389239
x 12 value 0.381185
x 13 value 0.374196
x 14 value 0.367341
x 15 value 0.361862
x 16 value 0.355809
x 17 value 0.350743
x 18 value 0.346448
x 19 value 0.341933
x 20 value 0.337438
x 21 value 0.333998
x 22 value 0.330567
x 23 value 0.326997
x 24 value 0.323467
x 25 value 0.320212
x 26 value 0.317028
x 27 value 0.314764
x 28 value 0.311528
x 29 value 0.309589
x 30 value 0.307063
x 31 value 0.305123
x 32 value 0.302369
x 33 value 0.300401
x 34 value 0.297944
x 35 value 0.296684
x 36 value 0.294414
x 37 value 0.292914
x 38 value 0.290872
x 39 value 0.289229
x 40 value 0.287758
x 41 value 0.285973
x 42 value 0.284573
x 43 value 0.283531
x 44 value 0.281356
x 45 value 0.280412
x 46 value 0.279080
x 47 value 0.278068
x 48 value 0.275751
x 49 value 0.275234
x 50 value 0.273920
x 51 value 0.273258
x 52 value 0.271310
x 53 value 0.271056
x 54 value 0.269954
x 55 value 0.268954
x 56 value 0.267457
x 57 value 0.266244
x 58 value 0.265153
x 59 value 0.264261
x 60 value 0.263815
x 61 value 0.262369
x 62 value 0.261322
x 63 value 0.260938
x 64 value 0.259747
x 65 value 0.259055
x 66 value 0.258177
x 67 value 0.257198
x 68 value 0.256495
x 69 value 0.255333
x 70 value 0.254666
x 71 value 0.254277
x 72 value 0.253344
x 73 value 0.252459
x 74 value 0.251791
x 75 value 0.251205
x 76 value 0.249716
x 77 value 0.249927
x 78 value 0.249920
x 79 value 0.248269
x 80 value 0.248164
x 81 value 0.247459
x 82 value 0.247068
x 83 value 0.246097
x 84 value 0.244936
x 85 value 0.244609
x 86 value 0.244708
x 87 value 0.243547
x 88 value 0.243359
x 89 value 0.242301
x 90 value 0.242038
x 91 value 0.241023
x 92 value 0.240826
x 93 value 0.240662
x 94 value 0.239858
x 95 value 0.239467
x 96 value 0.239198
x 97 value 0.238320
x 98 value 0.237833
x 99 value 0.237465
x 100 value 0.236880
x 101 value 0.236741
x 102 value 0.236961
x 103 value 0.235378
x 104 value 0.235191
x 105 value 0.235089
x 106 value 0.234005
x 107 value 0.234643
x 108 value 0.233362
x 109 value 0.233077
x 110 value 0.232744
x 111 value 0.232034
x 112 value 0.232187
x 113 value 0.231574
x 114 value 0.231351
x 115 value 0.231040
x 116 value 0.230384
x 117 value 0.230403
x 118 value 0.229205
x 119 value 0.229414
x 120 value 0.228749
x 121 value 0.228510
x 122 value 0.228295
x 123 value 0.228161
x 124 value 0.227333
x 125 value 0.227385
x 126 value 0.226569
x 127 value 0.226588
x 128 value 0.226662
x 129 value 0.226262
x 130 value 0.226135
x 131 value 0.225565
x 132 value 0.225105
x 133 value 0.224826
x 134 value 0.224784
x 135 value 0.224153
x 136 value 0.223878
x 137 value 0.223328
x 138 value 0.223474
x 139 value 0.223385
x 140 value 0.222464
x 141 value 0.222569
x 142 value 0.221836
x 143 value 0.221428
x 144 value 0.221375
x 145 value 0.221226
x 146 value 0.221239
x 147 value 0.220313
x 148 value 0.220122
x 149 value 0.219911
x 150 value 0.220117
x 151 value 0.220159
x 152 value 0.219537
x 153 value 0.219511
x 154 value 0.218602
x 155 value 0.218410
x 156 value 0.218282
x 157 value 0.218330
x 158 value 0.218104
x 159 value 0.217887
x 160 value 0.217531
x 161 value 0.217301
x 162 value 0.217222
x 163 value 0.216850
x 164 value 0.216403
x 165 value 0.216798
x 166 value 0.216232
x 167 value 0.216012
x 168 value 0.215941
x 169 value 0.215613
x 170 value 0.216070
x 171 value 0.215325
x 172 value 0.215252
x 173 value 0.215161
x 174 value 0.214949
x 175 value 0.215074
