L 32 T 3.540000
spin_corr:
x 0 value 1000.000000
x 1 value 731.250000
x 2 value 665.625000
x 3 value 638.250000
x 4 value 623.750000
x 5 value 613.875000
x 6 value 605.000000
x 7 value 596.750000
x 8 value 598.750000
x 9 value 594.500000
x 10 value 589.500000
x 11 value 587.500000
x 12 value 587.500000
x 13 value 589.000000
x 14 value 590.875000
x 15 value 592.250000
x 16 value 590.875000
x 17 value 592.250000
x 18 value 590.875000
x 19 value 589.000000
x 20 value 587.500000
x 21 value 587.500000
x 22 value 589.500000
x 23 value 594.500000
x 24 value 598.750000
x 25 value 596.750000
x 26 value 605.000000
x 27 value 613.875000
x 28 value 623.750000
x 29 value 638.250000
x 30 value 665.625000
x 31 value 731.250000
