L 96 T 3.580000
spin_corr:
x 0 value 1000.000000
x 1 value 710.375000
x 2 value 630.416667
x 3 value 597.666667
x 4 value 574.750000
x 5 value 563.166667
x 6 value 554.500000
x 7 value 551.750000
x 8 value 546.375000
x 9 value 543.291667
x 10 value 539.375000
x 11 value 537.916667
x 12 value 539.666667
x 13 value 535.666667
x 14 value 534.791667
x 15 value 531.000000
x 16 value 532.875000
x 17 value 530.666667
x 18 value 534.833333
x 19 value 534.583333
x 20 value 533.500000
x 21 value 531.333333
x 22 value 534.625000
x 23 value 531.916667
x 24 value 532.125000
x 25 value 531.250000
x 26 value 532.083333
x 27 value 531.375000
x 28 value 531.041667
x 29 value 531.083333
x 30 value 528.083333
x 31 value 530.916667
x 32 value 530.291667
x 33 value 529.875000
x 34 value 531.458333
x 35 value 530.291667
x 36 value 528.875000
x 37 value 532.125000
x 38 value 533.000000
x 39 value 530.333333
x 40 value 530.958333
x 41 value 535.333333
x 42 value 533.875000
x 43 value 533.416667
x 44 value 533.583333
x 45 value 529.041667
x 46 value 532.541667
x 47 value 532.041667
x 48 value 533.958333
x 49 value 532.041667
x 50 value 532.541667
x 51 value 529.041667
x 52 value 533.583333
x 53 value 533.416667
x 54 value 533.875000
x 55 value 535.333333
x 56 value 530.958333
x 57 value 530.333333
x 58 value 533.000000
x 59 value 532.125000
x 60 value 528.875000
x 61 value 530.291667
x 62 value 531.458333
x 63 value 529.875000
x 64 value 530.291667
x 65 value 530.916667
x 66 value 528.083333
x 67 value 531.083333
x 68 value 531.041667
x 69 value 531.375000
x 70 value 532.083333
x 71 value 531.250000
x 72 value 532.125000
x 73 value 531.916667
x 74 value 534.625000
x 75 value 531.333333
x 76 value 533.500000
x 77 value 534.583333
x 78 value 534.833333
x 79 value 530.666667
x 80 value 532.875000
x 81 value 531.000000
x 82 value 534.791667
x 83 value 535.666667
x 84 value 539.666667
x 85 value 537.916667
x 86 value 539.375000
x 87 value 543.291667
x 88 value 546.375000
x 89 value 551.750000
x 90 value 554.500000
x 91 value 563.166667
x 92 value 574.750000
x 93 value 597.666667
x 94 value 630.416667
x 95 value 710.375000
